nombre, longitud, idPaises
Circuito de Monaco, 3, 1
Circuito de Silverstone, 5, 2
Circuito de Monza, 5, 1
Circuito de Spa-Francorchamps, 7, 7
Circuito de Suzuka, 5, 8
Circuito de Interlagos, 4, 6
Circuito de Bahrain, 5, 9
Circuito de Melbourne, 5, 4
Circuito de Barcelona-Catalunya, 4, 10
Circuito de Hungaroring, 4, 11
Circuito de Yas Marina, 5, 12
Circuito de Austin, 5, 13
Circuito de Zandvoort, 4, 14
Circuito de Imola, 4, 1
Circuito de Miami, 5, 13
Circuito de Jeddah, 6, 15
Circuito de Las Vegas, 6, 13
Circuito de Shanghai, 5, 16
